start,end,labelName
2020-08-12 14:00:00,2020-08-12 14:30:00,Wake up
2020-08-12 17:00:00,2020-08-12 17:30:00,Eat
2020-08-12 23:00:00,2020-08-12 23:30:00,Sleep
2020-08-13 01:00:00,2020-08-13 01:30:00,Sleep
2020-08-13 05:00:00,2020-08-13 05:30:00,Sleep
2020-08-13 08:30:00,2020-08-13 09:00:00,Sleep
2020-08-13 09:00:00,2020-08-13 09:30:00,Wake up
2020-08-13 09:30:00,2020-08-13 10:00:00,Go to bathroom
2020-08-13 10:00:00,2020-08-13 10:30:00,Eat
2020-08-13 12:00:00,2020-08-13 12:30:00,Eat
2020-08-13 13:00:00,2020-08-13 13:30:00,Wash dishes
2020-08-13 16:30:00,2020-08-13 17:00:00,None
2020-08-13 19:00:00,2020-08-13 19:30:00,Sleep
2020-08-13 23:30:00,2020-08-14 00:00:00,Sleep
2020-08-14 00:00:00,2020-08-14 00:30:00,Sleep
2020-08-14 02:00:00,2020-08-14 02:30:00,Sleep
2020-08-14 04:00:00,2020-08-14 04:30:00,Sleep
2020-08-14 05:30:00,2020-08-14 06:00:00,Wake up
2020-08-14 07:30:00,2020-08-14 08:00:00,Cook
2020-08-14 09:00:00,2020-08-14 09:30:00,None
2020-08-14 12:00:00,2020-08-14 12:30:00,None
2020-08-14 17:30:00,2020-08-14 18:00:00,Go to bathroom
2020-08-14 18:30:00,2020-08-14 19:00:00,Sleep
2020-08-14 21:00:00,2020-08-14 21:30:00,Sleep
2020-08-15 01:00:00,2020-08-15 01:30:00,Sleep
2020-08-15 03:30:00,2020-08-15 04:00:00,Sleep
2020-08-15 05:30:00,2020-08-15 06:00:00,Sleep
2020-08-15 08:00:00,2020-08-15 08:30:00,Wake up
2020-08-15 08:30:00,2020-08-15 09:00:00,Go to bathroom
2020-08-15 09:30:00,2020-08-15 10:00:00,Eat
2020-08-15 12:00:00,2020-08-15 12:30:00,Eat
2020-08-15 14:00:00,2020-08-15 14:30:00,Go to bathroom
2020-08-15 19:00:00,2020-08-15 19:30:00,Sleep
2020-08-16 09:00:00,2020-08-16 09:30:00,Wake up
2020-08-16 10:00:00,2020-08-16 10:30:00,Go to bathroom
2020-08-16 12:00:00,2020-08-16 12:30:00,Cook
2020-08-16 14:00:00,2020-08-16 14:30:00,Take medicine
2020-08-16 15:30:00,2020-08-16 16:00:00,Eat
2020-08-16 17:00:00,2020-08-16 17:30:00,None
2020-08-16 18:00:00,2020-08-16 18:30:00,None
2020-08-16 19:30:00,2020-08-16 20:00:00,Sleep
2020-08-16 21:30:00,2020-08-16 22:00:00,Sleep
2020-08-16 23:30:00,2020-08-17 00:00:00,Sleep
2020-08-17 00:30:00,2020-08-17 01:00:00,Sleep
2020-08-17 02:30:00,2020-08-17 03:00:00,Sleep
2020-08-17 04:30:00,2020-08-17 05:00:00,Sleep
2020-08-17 06:30:00,2020-08-17 07:00:00,Sleep
2020-08-17 08:30:00,2020-08-17 09:00:00,Sleep
