start,end,labelName
2020-08-07 16:00:00,2020-08-07 16:30:00,Cook
2020-08-07 16:30:00,2020-08-07 17:00:00,Eat
2020-08-10 09:30:00,2020-08-10 10:00:00,Eat
2020-08-10 14:30:00,2020-08-10 15:00:00,Eat
2020-08-12 10:30:00,2020-08-12 11:00:00,Cook
2020-08-12 11:00:00,2020-08-12 11:30:00,Cook
2020-08-12 11:30:00,2020-08-12 12:00:00,Eat
2020-08-12 12:00:00,2020-08-12 12:30:00,Eat
2020-08-12 13:00:00,2020-08-12 13:30:00,Go to bathroom
2020-08-14 20:30:00,2020-08-14 21:00:00,Go to bathroom
2020-08-16 19:00:00,2020-08-16 19:30:00,Go to bathroom
2020-08-17 18:00:00,2020-08-17 18:30:00,Go to bathroom
2020-08-18 10:00:00,2020-08-18 10:30:00,Wake up
2020-08-18 10:30:00,2020-08-18 11:00:00,Cook
2020-08-18 11:00:00,2020-08-18 11:30:00,Eat
2020-08-18 12:00:00,2020-08-18 12:30:00,Eat
2020-08-18 15:00:00,2020-08-18 15:30:00,Cook
2020-08-18 15:30:00,2020-08-18 16:00:00,Cook
2020-08-18 16:30:00,2020-08-18 17:00:00,Eat
2020-08-18 17:00:00,2020-08-18 17:30:00,Eat
2020-08-18 17:30:00,2020-08-18 18:00:00,Eat
2020-08-19 09:00:00,2020-08-19 09:30:00,Go to bathroom
2020-08-19 10:30:00,2020-08-19 11:00:00,Go to bathroom
2020-08-19 11:00:00,2020-08-19 11:30:00,Cook
2020-08-19 11:30:00,2020-08-19 12:00:00,Eat
2020-08-19 13:00:00,2020-08-19 13:30:00,Eat
2020-08-19 16:30:00,2020-08-19 17:00:00,Cook
2020-08-19 17:00:00,2020-08-19 17:30:00,Eat
2020-08-27 12:00:00,2020-08-27 12:30:00,Go to bathroom
2020-08-27 12:30:00,2020-08-27 13:00:00,Cook
2020-08-27 14:00:00,2020-08-27 14:30:00,Go to bathroom
2020-08-27 14:30:00,2020-08-27 15:00:00,Clean
2020-08-27 15:00:00,2020-08-27 15:30:00,Eat
2020-08-27 18:30:00,2020-08-27 19:00:00,Cook
2020-08-27 19:00:00,2020-08-27 19:30:00,Cook
2020-08-27 19:30:00,2020-08-27 20:00:00,Cook
2020-08-27 20:00:00,2020-08-27 20:30:00,Eat
2020-08-30 10:30:00,2020-08-30 11:00:00,Go to bathroom
2020-08-30 12:30:00,2020-08-30 13:00:00,Cook
2020-08-30 14:30:00,2020-08-30 15:00:00,Eat
2020-08-30 15:30:00,2020-08-30 16:00:00,Eat
2020-08-30 15:30:00,2020-08-30 16:00:00,Go to bathroom
2020-08-30 16:00:00,2020-08-30 16:30:00,Eat
2020-08-30 16:00:00,2020-08-30 16:30:00,Go to bathroom
2020-08-31 00:00:00,2020-08-31 00:30:00,Go to bathroom
2020-08-31 18:00:00,2020-08-31 18:30:00,Go to bathroom
2020-08-31 19:00:00,2020-08-31 19:30:00,Eat
2020-08-31 20:30:00,2020-08-31 21:00:00,Cook
2020-09-01 09:00:00,2020-09-01 09:30:00,Cook
2020-09-01 09:30:00,2020-09-01 10:00:00,Cook
2020-09-01 10:30:00,2020-09-01 11:00:00,Cook
2020-09-01 12:00:00,2020-09-01 12:30:00,Cook
2020-09-01 13:30:00,2020-09-01 14:00:00,Cook
2020-09-01 14:00:00,2020-09-01 14:30:00,Cook
2020-09-01 16:30:00,2020-09-01 17:00:00,Eat
2020-09-01 17:00:00,2020-09-01 17:30:00,Eat
2020-09-02 07:00:00,2020-09-02 07:30:00,Go to bathroom
2020-09-03 10:30:00,2020-09-03 11:00:00,Cook
2020-09-03 10:30:00,2020-09-03 11:00:00,Eat
2020-09-03 11:00:00,2020-09-03 11:30:00,Eat
2020-09-03 11:30:00,2020-09-03 12:00:00,Eat
2020-09-03 11:30:00,2020-09-03 12:00:00,Go to bathroom
2020-09-03 12:00:00,2020-09-03 12:30:00,Eat
2020-09-03 13:00:00,2020-09-03 13:30:00,Eat
2020-09-03 13:30:00,2020-09-03 14:00:00,Eat
2020-09-03 14:00:00,2020-09-03 14:30:00,Go to bathroom
2020-09-03 15:00:00,2020-09-03 15:30:00,Eat
2020-09-04 09:30:00,2020-09-04 10:00:00,Cook
2020-09-04 10:00:00,2020-09-04 10:30:00,Cook
2020-09-04 11:00:00,2020-09-04 11:30:00,Take medicine
2020-09-04 12:00:00,2020-09-04 12:30:00,Cook
2020-09-04 12:30:00,2020-09-04 13:00:00,Cook
2020-09-04 13:00:00,2020-09-04 13:30:00,Cook
2020-09-04 14:30:00,2020-09-04 15:00:00,Cook
2020-09-04 16:00:00,2020-09-04 16:30:00,Cook
