start,end,labelName
2020-08-07 14:00:00,2020-08-07 14:30:00,Go to bathroom
2020-08-07 14:00:00,2020-08-07 14:30:00,Cook
2020-08-07 14:00:00,2020-08-07 14:30:00,Take medicine
2020-08-07 15:00:00,2020-08-07 15:30:00,Go to bathroom
2020-08-07 16:00:00,2020-08-07 16:30:00,Go to bathroom
2020-08-07 17:00:00,2020-08-07 17:30:00,Go to bathroom
2020-08-07 17:00:00,2020-08-07 17:30:00,Cook
2020-08-08 06:30:00,2020-08-08 07:00:00,Go to bathroom
2020-08-08 10:00:00,2020-08-08 10:30:00,Cook
2020-08-08 11:30:00,2020-08-08 12:00:00,Go to bathroom
2020-08-08 12:00:00,2020-08-08 12:30:00,Go to bathroom
2020-08-08 14:30:00,2020-08-08 15:00:00,Go to bathroom
2020-08-08 15:00:00,2020-08-08 15:30:00,Go to bathroom
2020-08-08 15:30:00,2020-08-08 16:00:00,Go to bathroom
2020-08-08 16:00:00,2020-08-08 16:30:00,Go to bathroom
2020-08-08 16:30:00,2020-08-08 17:00:00,Cook
2020-08-08 18:30:00,2020-08-08 19:00:00,Go to bathroom
2020-08-08 19:00:00,2020-08-08 19:30:00,Cook
2020-08-08 19:30:00,2020-08-08 20:00:00,Cook
2020-08-08 20:00:00,2020-08-08 20:30:00,Cook
2020-08-08 20:30:00,2020-08-08 21:00:00,Cook
2020-08-08 21:30:00,2020-08-08 22:00:00,Take medicine
2020-08-09 09:30:00,2020-08-09 10:00:00,Go to bathroom
2020-08-09 10:00:00,2020-08-09 10:30:00,Cook
2020-08-09 10:30:00,2020-08-09 11:00:00,Cook
2020-08-09 14:30:00,2020-08-09 15:00:00,Cook
2020-08-09 15:00:00,2020-08-09 15:30:00,Go to bathroom
2020-08-09 17:00:00,2020-08-09 17:30:00,Go to bathroom
2020-08-09 17:30:00,2020-08-09 18:00:00,Cook
2020-08-09 18:00:00,2020-08-09 18:30:00,Go to bathroom
2020-08-09 18:30:00,2020-08-09 19:00:00,Go to bathroom
2020-08-10 08:30:00,2020-08-10 09:00:00,Cook
2020-08-10 09:00:00,2020-08-10 09:30:00,Cook
2020-08-10 09:30:00,2020-08-10 10:00:00,Cook
2020-08-10 10:00:00,2020-08-10 10:30:00,Go to bathroom
2020-08-10 10:30:00,2020-08-10 11:00:00,Go to bathroom
2020-08-10 11:30:00,2020-08-10 12:00:00,Go to bathroom
2020-08-10 12:00:00,2020-08-10 12:30:00,Cook
2020-08-10 12:30:00,2020-08-10 13:00:00,Go to bathroom
2020-08-10 13:30:00,2020-08-10 14:00:00,Go to bathroom
2020-08-10 14:00:00,2020-08-10 14:30:00,Go to bathroom
2020-08-10 15:00:00,2020-08-10 15:30:00,Cook
2020-08-10 15:30:00,2020-08-10 16:00:00,Go to bathroom
2020-08-10 16:30:00,2020-08-10 17:00:00,Cook
2020-08-10 17:00:00,2020-08-10 17:30:00,Cook
2020-08-10 18:00:00,2020-08-10 18:30:00,Go to bathroom
2020-08-10 18:30:00,2020-08-10 19:00:00,Cook
2020-08-10 19:00:00,2020-08-10 19:30:00,Go to bathroom
2020-08-11 07:00:00,2020-08-11 07:30:00,Cook
2020-08-11 07:30:00,2020-08-11 08:00:00,Cook
2020-08-11 08:00:00,2020-08-11 08:30:00,Cook
2020-08-11 09:00:00,2020-08-11 09:30:00,Cook
2020-08-11 11:00:00,2020-08-11 11:30:00,Cook
2020-08-11 15:00:00,2020-08-11 15:30:00,Cook
2020-08-11 15:30:00,2020-08-11 16:00:00,Go to bathroom
2020-08-11 16:00:00,2020-08-11 16:30:00,Take medicine
2020-08-11 18:00:00,2020-08-11 18:30:00,Cook
2020-08-11 18:30:00,2020-08-11 19:00:00,Go to bathroom
2020-08-12 07:00:00,2020-08-12 07:30:00,Cook
