,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
18286,2020-08-10 15:52:12,27,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18287,2020-08-10 15:53:02,37,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18288,2020-08-10 15:53:33,53,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18289,2020-08-10 15:53:50,72,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18290,2020-08-10 15:55:00,117,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18293,2020-08-10 15:58:33,135,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18302,2020-08-10 16:17:50,250,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18306,2020-08-10 16:20:05,270,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18308,2020-08-10 16:29:45,344,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18311,2020-08-10 16:30:06,351,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18315,2020-08-10 16:30:15,360,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18319,2020-08-10 16:40:05,437,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18327,2020-08-10 16:50:05,508,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18336,2020-08-10 16:58:21,560,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18345,2020-08-10 17:08:31,590,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18355,2020-08-10 17:17:33,597,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18364,2020-08-10 17:20:06,604,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18391,2020-08-10 17:40:08,616,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18395,2020-08-10 17:48:10,703,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18398,2020-08-10 17:50:05,732,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18411,2020-08-10 18:00:05,936,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18419,2020-08-10 18:06:44,1078,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18429,2020-08-10 18:20:05,1210,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18443,2020-08-10 18:40:11,1279,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18451,2020-08-10 18:50:13,1286,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18457,2020-08-10 19:00:13,1313,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18467,2020-08-10 19:10:10,1346,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18468,2020-08-10 19:13:02,1353,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18582,2020-08-11 08:17:46,237,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18600,2020-08-11 09:11:29,1601,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18609,2020-08-11 09:30:05,1610,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18692,2020-08-11 11:30:03,2009,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18699,2020-08-11 11:40:06,2338,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18707,2020-08-11 11:50:05,2766,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18718,2020-08-11 12:00:17,3128,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18732,2020-08-11 12:16:16,3763,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18758,2020-08-11 12:33:08,4482,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18780,2020-08-11 12:52:07,4711,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18792,2020-08-11 13:01:54,4791,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18793,2020-08-11 13:02:54,4820,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18795,2020-08-11 13:05:42,4951,94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18796,2020-08-11 13:06:35,4958,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18798,2020-08-11 13:06:45,4969,93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18799,2020-08-11 13:06:55,4988,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18800,2020-08-11 13:07:05,4994,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18811,2020-08-11 13:10:55,5071,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18815,2020-08-11 13:20:02,5161,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18855,2020-08-11 14:00:24,5243,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18881,2020-08-11 14:23:04,5372,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18960,2020-08-11 15:10:21,5548,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18995,2020-08-11 15:30:47,5725,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19076,2020-08-11 16:40:05,6250,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19096,2020-08-11 16:58:16,6424,84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19110,2020-08-11 17:01:53,6553,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19111,2020-08-11 17:02:13,6570,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19112,2020-08-11 17:02:23,6581,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19113,2020-08-11 17:02:43,6592,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19115,2020-08-11 17:04:05,6654,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19117,2020-08-11 17:06:27,6724,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19137,2020-08-11 17:26:52,6804,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19159,2020-08-11 17:40:31,6918,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19161,2020-08-11 17:40:48,6932,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19163,2020-08-11 17:45:56,7026,83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19210,2020-08-11 18:13:35,7050,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19252,2020-08-11 18:40:38,7096,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19260,2020-08-11 18:50:02,7118,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19269,2020-08-11 18:56:00,7285,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19316,2020-08-11 19:42:15,7301,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21085,2020-08-13 09:42:50,16,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21116,2020-08-13 10:01:23,147,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21117,2020-08-13 10:01:32,154,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21118,2020-08-13 10:01:42,168,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21121,2020-08-13 10:01:52,178,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21122,2020-08-13 10:02:02,192,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21123,2020-08-13 10:02:12,209,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21128,2020-08-13 10:04:33,438,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21146,2020-08-13 10:13:44,794,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21170,2020-08-13 10:24:57,961,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
21213,2020-08-13 10:50:30,1260,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21261,2020-08-13 11:25:12,1275,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21338,2020-08-13 12:11:14,1304,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21379,2020-08-13 12:29:57,1333,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21549,2020-08-13 13:51:10,1372,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21552,2020-08-13 13:54:40,1501,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21571,2020-08-13 14:10:04,1753,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21576,2020-08-13 14:13:26,1762,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21623,2020-08-13 14:40:01,2057,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21657,2020-08-13 15:02:16,2782,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21677,2020-08-13 15:26:49,2854,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23122,2020-08-14 15:50:05,16,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23139,2020-08-14 16:00:05,68,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23159,2020-08-14 16:10:07,84,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23181,2020-08-14 16:20:11,119,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23204,2020-08-14 16:31:32,578,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23205,2020-08-14 16:31:37,587,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23219,2020-08-14 16:39:02,777,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23244,2020-08-14 16:49:51,1187,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23255,2020-08-14 16:50:10,1201,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23256,2020-08-14 16:51:50,1225,98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23268,2020-08-14 17:00:10,1262,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23275,2020-08-14 17:04:06,1328,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23292,2020-08-14 17:10:10,1540,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23308,2020-08-14 17:20:11,1818,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23325,2020-08-14 17:30:10,2063,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23336,2020-08-14 17:40:12,2217,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23350,2020-08-14 17:54:29,2224,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23373,2020-08-14 18:09:09,2232,93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23404,2020-08-14 18:20:06,2240,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23426,2020-08-14 18:30:05,2343,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23455,2020-08-14 18:40:05,2587,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23479,2020-08-14 18:50:05,2760,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23504,2020-08-14 19:00:04,2769,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23538,2020-08-14 19:20:05,2776,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23559,2020-08-14 19:33:32,2788,89,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23588,2020-08-14 20:10:04,2816,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24354,2020-08-15 15:23:56,80,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24355,2020-08-15 15:24:15,94,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24356,2020-08-15 15:24:25,111,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24357,2020-08-15 15:24:35,124,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24358,2020-08-15 15:24:44,134,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24366,2020-08-15 15:31:07,268,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24404,2020-08-15 16:02:23,282,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24530,2020-08-15 17:10:03,289,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24541,2020-08-15 17:14:08,594,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24542,2020-08-15 17:14:18,604,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24543,2020-08-15 17:14:27,621,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24544,2020-08-15 17:14:37,634,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24561,2020-08-15 17:20:40,725,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24601,2020-08-15 17:47:44,733,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24602,2020-08-15 17:47:51,741,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24627,2020-08-15 18:08:34,889,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24636,2020-08-15 18:12:09,1086,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24638,2020-08-15 18:14:14,1172,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24641,2020-08-15 18:18:08,1369,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24677,2020-08-15 18:48:10,1480,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24678,2020-08-15 18:49:35,1526,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24686,2020-08-15 18:50:41,1552,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24687,2020-08-15 18:51:20,1578,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24699,2020-08-15 19:00:12,1586,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24702,2020-08-15 19:07:22,1605,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24703,2020-08-15 19:07:55,1617,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24743,2020-08-15 19:49:47,2427,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24791,2020-08-15 20:57:52,2470,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24974,2020-08-16 08:07:30,179,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24976,2020-08-16 08:08:27,212,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24981,2020-08-16 08:15:16,296,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24983,2020-08-16 08:16:40,336,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24984,2020-08-16 08:17:00,351,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24985,2020-08-16 08:17:10,366,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24986,2020-08-16 08:17:19,382,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24987,2020-08-16 08:17:28,397,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24995,2020-08-16 08:33:20,922,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24997,2020-08-16 08:33:40,923,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24999,2020-08-16 08:39:53,938,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25005,2020-08-16 08:42:30,1043,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25006,2020-08-16 08:42:49,1059,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25007,2020-08-16 08:42:59,1066,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25008,2020-08-16 08:43:08,1081,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25014,2020-08-16 08:50:03,1125,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25032,2020-08-16 09:00:42,1133,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25046,2020-08-16 09:19:47,1176,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25060,2020-08-16 09:25:50,1242,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25061,2020-08-16 09:26:00,1251,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25062,2020-08-16 09:26:10,1268,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25063,2020-08-16 09:26:20,1279,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25064,2020-08-16 09:26:30,1286,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25065,2020-08-16 09:26:39,1308,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25066,2020-08-16 09:29:25,1397,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25082,2020-08-16 09:37:37,1487,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25085,2020-08-16 09:37:57,1496,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25087,2020-08-16 09:38:07,1514,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25089,2020-08-16 09:38:15,1531,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25091,2020-08-16 09:38:25,1548,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25098,2020-08-16 09:40:27,1603,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25099,2020-08-16 09:40:58,1626,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25103,2020-08-16 09:48:34,1872,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25105,2020-08-16 09:48:54,1881,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25106,2020-08-16 09:49:04,1905,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25108,2020-08-16 09:49:14,1923,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25109,2020-08-16 09:49:24,1941,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25120,2020-08-16 09:50:37,2029,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25145,2020-08-16 10:02:30,2412,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25158,2020-08-16 10:12:59,3001,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25177,2020-08-16 10:31:03,3213,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25201,2020-08-16 10:44:31,3224,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25209,2020-08-16 10:53:22,3706,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25214,2020-08-16 10:55:30,3714,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25220,2020-08-16 10:59:05,3724,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25222,2020-08-16 10:59:45,3788,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
