,client_time,step,battery_low,is_charge,tag_battery_low,tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12
15890,2020-08-07 12:36:14,19,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15893,2020-08-07 12:40:03,53,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15898,2020-08-07 12:50:03,61,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15911,2020-08-07 13:02:11,203,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15917,2020-08-07 13:10:02,254,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16311,2020-08-07 20:00:50,272,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16326,2020-08-07 20:27:40,284,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16329,2020-08-07 20:30:14,301,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16348,2020-08-07 20:58:51,310,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16356,2020-08-07 21:09:19,369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16358,2020-08-07 21:10:10,410,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16359,2020-08-07 21:10:11,423,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16375,2020-08-07 21:40:10,430,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16382,2020-08-07 21:50:08,439,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16384,2020-08-07 21:53:56,446,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17337,2020-08-09 07:43:07,39,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17346,2020-08-09 08:03:13,373,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17366,2020-08-09 08:21:03,416,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17376,2020-08-09 08:26:36,536,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17378,2020-08-09 08:26:56,544,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17379,2020-08-09 08:27:06,561,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17380,2020-08-09 08:27:16,578,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17381,2020-08-09 08:27:25,593,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17387,2020-08-09 08:33:18,720,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17393,2020-08-09 08:40:35,729,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17394,2020-08-09 08:43:46,755,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17395,2020-08-09 08:44:15,770,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17396,2020-08-09 08:44:25,784,66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17400,2020-08-09 08:51:14,819,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17428,2020-08-09 09:30:01,864,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17432,2020-08-09 09:37:03,898,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17434,2020-08-09 09:42:58,959,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17435,2020-08-09 09:43:18,982,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17436,2020-08-09 09:43:27,993,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17438,2020-08-09 09:47:32,1018,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17448,2020-08-09 09:56:02,1048,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17449,2020-08-09 09:56:22,1069,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17450,2020-08-09 09:56:31,1080,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17451,2020-08-09 09:56:51,1088,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17453,2020-08-09 09:59:49,1176,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17457,2020-08-09 10:02:28,1197,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17463,2020-08-09 10:10:02,1384,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17465,2020-08-09 10:10:32,1411,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17469,2020-08-09 10:20:02,1418,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17479,2020-08-09 10:30:03,1427,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17486,2020-08-09 10:40:00,1436,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17503,2020-08-09 11:13:35,1603,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17504,2020-08-09 11:14:16,1610,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17509,2020-08-09 11:24:50,1665,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17511,2020-08-09 11:28:11,1737,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17516,2020-08-09 11:33:36,1866,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17517,2020-08-09 11:33:46,1873,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17518,2020-08-09 11:33:57,1885,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17519,2020-08-09 11:34:16,1892,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17520,2020-08-09 11:34:25,1907,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17522,2020-08-09 11:36:53,1917,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17523,2020-08-09 11:40:07,1929,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17526,2020-08-09 11:40:24,1937,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17529,2020-08-09 11:44:44,2026,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17544,2020-08-09 12:00:07,2040,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17550,2020-08-09 12:10:05,2059,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17558,2020-08-09 12:30:07,2135,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17562,2020-08-09 12:33:42,2142,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17568,2020-08-09 12:38:17,2151,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17569,2020-08-09 12:38:46,2160,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17575,2020-08-09 12:43:11,2349,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17577,2020-08-09 12:43:31,2361,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17578,2020-08-09 12:43:41,2382,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17579,2020-08-09 12:43:51,2396,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17580,2020-08-09 12:44:01,2411,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17582,2020-08-09 12:47:47,2524,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17589,2020-08-09 12:53:05,2597,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17590,2020-08-09 12:54:05,2619,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17591,2020-08-09 12:54:07,2622,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17592,2020-08-09 12:54:19,2625,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17594,2020-08-09 12:59:56,2831,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17599,2020-08-09 13:01:32,2841,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17600,2020-08-09 13:03:00,2871,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17601,2020-08-09 13:03:56,2906,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17603,2020-08-09 13:05:25,3010,57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17604,2020-08-09 13:06:10,3017,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17611,2020-08-09 13:20:03,3026,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18285,2020-08-10 15:51:46,11,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
