start,end,labelName
2020-08-17 12:30:00,2020-08-17 13:00:00,Eat
2020-08-17 14:30:00,2020-08-17 15:00:00,Go to bathroom
2020-08-17 17:00:00,2020-08-17 17:30:00,Cook
2020-08-17 17:30:00,2020-08-17 18:00:00,Eat
2020-08-17 20:30:00,2020-08-17 21:00:00,Sleep
2020-08-17 21:00:00,2020-08-17 21:30:00,Sleep
2020-08-18 00:30:00,2020-08-18 01:00:00,Sleep
2020-08-18 02:00:00,2020-08-18 02:30:00,Sleep
2020-08-18 07:00:00,2020-08-18 07:30:00,Wake up
2020-08-18 08:00:00,2020-08-18 08:30:00,Cook
2020-08-18 08:30:00,2020-08-18 09:00:00,Eat
2020-08-18 09:30:00,2020-08-18 10:00:00,None
2020-08-18 12:00:00,2020-08-18 12:30:00,Cook
2020-08-18 12:30:00,2020-08-18 13:00:00,Eat
2020-08-18 14:00:00,2020-08-18 14:30:00,None
2020-08-18 16:30:00,2020-08-18 17:00:00,Go to bathroom
2020-08-18 19:30:00,2020-08-18 20:00:00,Go to bathroom
2020-08-18 20:00:00,2020-08-18 20:30:00,Sleep
2020-08-18 23:00:00,2020-08-18 23:30:00,Sleep
2020-08-19 01:00:00,2020-08-19 01:30:00,Sleep
2020-08-19 03:30:00,2020-08-19 04:00:00,Sleep
2020-08-19 04:00:00,2020-08-19 04:30:00,Sleep
2020-08-19 07:30:00,2020-08-19 08:00:00,Wake up
2020-08-19 08:00:00,2020-08-19 08:30:00,Cook
2020-08-19 08:30:00,2020-08-19 09:00:00,Eat
2020-08-19 10:30:00,2020-08-19 11:00:00,Go to bathroom
2020-08-19 13:00:00,2020-08-19 13:30:00,Cook
2020-08-19 13:30:00,2020-08-19 14:00:00,Eat
2020-08-19 14:30:00,2020-08-19 15:00:00,Go to bathroom
2020-08-19 17:00:00,2020-08-19 17:30:00,Take medicine
2020-08-19 18:00:00,2020-08-19 18:30:00,Wash dishes
2020-08-19 19:00:00,2020-08-19 19:30:00,Go to bathroom
2020-08-19 20:00:00,2020-08-19 20:30:00,Sleep
2020-08-19 21:30:00,2020-08-19 22:00:00,Sleep
2020-08-19 23:30:00,2020-08-20 00:00:00,Sleep
2020-08-20 03:00:00,2020-08-20 03:30:00,Sleep
2020-08-20 04:00:00,2020-08-20 04:30:00,Sleep
2020-08-20 07:00:00,2020-08-20 07:30:00,Wake up
2020-08-20 07:30:00,2020-08-20 08:00:00,Go to bathroom
2020-08-20 10:30:00,2020-08-20 11:00:00,Go to bathroom
2020-08-20 12:00:00,2020-08-20 12:30:00,Eat
2020-08-20 12:30:00,2020-08-20 13:00:00,Cook
2020-08-20 13:00:00,2020-08-20 13:30:00,Eat
2020-08-20 16:00:00,2020-08-20 16:30:00,Eat
2020-08-20 19:00:00,2020-08-20 19:30:00,Go to bathroom
2020-08-20 19:30:00,2020-08-20 20:00:00,Sleep
2020-08-20 22:00:00,2020-08-20 22:30:00,Sleep
2020-08-20 23:00:00,2020-08-20 23:30:00,Sleep
2020-08-21 02:00:00,2020-08-21 02:30:00,Sleep
2020-08-21 02:30:00,2020-08-21 03:00:00,Sleep
2020-08-21 05:00:00,2020-08-21 05:30:00,Sleep
2020-08-21 06:00:00,2020-08-21 06:30:00,Wake up
2020-08-21 06:30:00,2020-08-21 07:00:00,Go to bathroom
2020-08-21 07:30:00,2020-08-21 08:00:00,Eat
2020-08-21 08:30:00,2020-08-21 09:00:00,Eat
2020-08-21 09:30:00,2020-08-21 10:00:00,Go walk
2020-08-21 10:30:00,2020-08-21 11:00:00,None
2020-08-26 16:00:00,2020-08-26 16:30:00,None
2020-08-27 13:00:00,2020-08-27 13:30:00,Go to bathroom
2020-08-27 16:00:00,2020-08-27 16:30:00,Go to bathroom
2020-08-27 18:00:00,2020-08-27 18:30:00,Eat
2020-08-27 19:30:00,2020-08-27 20:00:00,Drink
2020-08-27 22:30:00,2020-08-27 23:00:00,Sleep
2020-08-29 11:30:00,2020-08-29 12:00:00,Eat
2020-08-29 13:30:00,2020-08-29 14:00:00,Eat
2020-08-29 15:00:00,2020-08-29 15:30:00,Clean
2020-08-29 17:00:00,2020-08-29 17:30:00,Go to bathroom
2020-08-29 20:00:00,2020-08-29 20:30:00,Go to bathroom
2020-08-29 20:30:00,2020-08-29 21:00:00,Sleep
2020-08-29 22:30:00,2020-08-29 23:00:00,Sleep
2020-08-30 00:00:00,2020-08-30 00:30:00,Sleep
2020-08-30 03:00:00,2020-08-30 03:30:00,Sleep
2020-08-30 03:30:00,2020-08-30 04:00:00,Sleep
2020-08-30 06:00:00,2020-08-30 06:30:00,Sleep
2020-08-30 08:00:00,2020-08-30 08:30:00,Wake up
2020-08-30 09:00:00,2020-08-30 09:30:00,Cook
2020-08-30 09:30:00,2020-08-30 10:00:00,Eat
2020-08-30 11:00:00,2020-08-30 11:30:00,Cook
2020-08-30 11:30:00,2020-08-30 12:00:00,Eat
2020-08-30 13:30:00,2020-08-30 14:00:00,Wash dishes
2020-08-30 15:30:00,2020-08-30 16:00:00,Go to bathroom
2020-08-30 18:00:00,2020-08-30 18:30:00,Sleep
2020-08-30 19:30:00,2020-08-30 20:00:00,Sleep
2020-08-30 20:00:00,2020-08-30 20:30:00,Sleep
2020-08-30 20:30:00,2020-08-30 21:00:00,Sleep
2020-08-31 00:00:00,2020-08-31 00:30:00,Sleep
2020-08-31 00:30:00,2020-08-31 01:00:00,Sleep
2020-08-31 01:00:00,2020-08-31 01:30:00,Sleep
2020-08-31 02:30:00,2020-08-31 03:00:00,Sleep
2020-08-31 03:30:00,2020-08-31 04:00:00,Sleep
2020-08-31 05:00:00,2020-08-31 05:30:00,Sleep
2020-08-31 06:00:00,2020-08-31 06:30:00,Sleep
2020-08-31 08:00:00,2020-08-31 08:30:00,Sleep
2020-08-31 08:30:00,2020-08-31 09:00:00,Wake up
2020-08-31 09:30:00,2020-08-31 10:00:00,Wash dishes
2020-08-31 12:30:00,2020-08-31 13:00:00,Go to bathroom
2020-08-31 13:00:00,2020-08-31 13:30:00,Eat
2020-08-31 15:30:00,2020-08-31 16:00:00,Go to bathroom
2020-10-01 14:30:00,2020-10-01 15:00:00,None
2020-10-01 16:00:00,2020-10-01 16:30:00,None
2020-10-01 16:30:00,2020-10-01 17:00:00,None
2020-10-01 18:00:00,2020-10-01 18:30:00,Eat
2020-10-01 20:30:00,2020-10-01 21:00:00,Eat
2020-10-01 22:30:00,2020-10-01 23:00:00,Sleep
2020-10-02 00:00:00,2020-10-02 00:30:00,Sleep
2020-10-02 01:00:00,2020-10-02 01:30:00,Sleep
2020-10-02 03:00:00,2020-10-02 03:30:00,Sleep
2020-10-02 03:30:00,2020-10-02 04:00:00,Sleep
2020-10-02 04:00:00,2020-10-02 04:30:00,Sleep
2020-10-02 07:00:00,2020-10-02 07:30:00,Wake up
2020-10-02 07:30:00,2020-10-02 08:00:00,Go to bathroom
2020-10-02 09:00:00,2020-10-02 09:30:00,Sleep
2020-10-02 09:30:00,2020-10-02 10:00:00,Wake up
2020-10-02 10:30:00,2020-10-02 11:00:00,None
2020-10-02 12:00:00,2020-10-02 12:30:00,Cook
2020-10-02 12:30:00,2020-10-02 13:00:00,Go to bathroom
2020-10-02 13:00:00,2020-10-02 13:30:00,Eat
2020-10-02 14:30:00,2020-10-02 15:00:00,None
2020-10-02 16:00:00,2020-10-02 16:30:00,Cook
2020-10-03 10:00:00,2020-10-03 10:30:00,Cook
2020-10-03 10:30:00,2020-10-03 11:00:00,Eat
2020-10-03 11:00:00,2020-10-03 11:30:00,Cook
2020-10-03 11:30:00,2020-10-03 12:00:00,Eat
2020-11-23 16:00:00,2020-11-23 16:30:00,Go to bathroom
2020-11-23 16:30:00,2020-11-23 17:00:00,None
2020-11-23 17:00:00,2020-11-23 17:30:00,Cook
2020-11-24 08:30:00,2020-11-24 09:00:00,Cook
2020-11-24 09:00:00,2020-11-24 09:30:00,Eat
2020-11-24 10:00:00,2020-11-24 10:30:00,None
2020-11-24 11:30:00,2020-11-24 12:00:00,None
2020-11-24 13:00:00,2020-11-24 13:30:00,None
2020-11-24 15:00:00,2020-11-24 15:30:00,None
2020-11-24 16:00:00,2020-11-24 16:30:00,Cook
2020-11-24 16:30:00,2020-11-24 17:00:00,Eat
2020-11-25 09:30:00,2020-11-25 10:00:00,Wake up
2020-11-25 10:00:00,2020-11-25 10:30:00,Go to bathroom
2020-11-25 10:30:00,2020-11-25 11:00:00,Eat
2020-11-25 13:00:00,2020-11-25 13:30:00,Cook
2020-11-25 13:30:00,2020-11-25 14:00:00,Eat
2020-11-25 15:00:00,2020-11-25 15:30:00,None
2020-11-25 16:00:00,2020-11-25 16:30:00,Cook
2020-11-25 16:30:00,2020-11-25 17:00:00,Eat
2020-11-26 08:00:00,2020-11-26 08:30:00,Wake up
2020-11-26 08:30:00,2020-11-26 09:00:00,Cook
2020-11-26 09:00:00,2020-11-26 09:30:00,Eat
2020-11-26 09:30:00,2020-11-26 10:00:00,None
2020-11-26 10:30:00,2020-11-26 11:00:00,Eat
2020-11-26 12:00:00,2020-11-26 12:30:00,None
2020-11-26 13:00:00,2020-11-26 13:30:00,None
2020-11-26 14:00:00,2020-11-26 14:30:00,None
2020-11-26 15:00:00,2020-11-26 15:30:00,None
2020-11-26 16:30:00,2020-11-26 17:00:00,Cook
2020-11-27 12:30:00,2020-11-27 13:00:00,Cook
2020-11-27 13:30:00,2020-11-27 14:00:00,None
2020-11-27 14:30:00,2020-11-27 15:00:00,None
2020-11-27 15:00:00,2020-11-27 15:30:00,None
2020-11-27 16:00:00,2020-11-27 16:30:00,Cook
2020-11-27 16:30:00,2020-11-27 17:00:00,Cook
2020-11-28 09:00:00,2020-11-28 09:30:00,Sleep
2020-11-28 11:00:00,2020-11-28 11:30:00,Wake up
