start,end,labelName
2020-08-05 09:30:00,2020-08-05 10:00:00,Go to bathroom
2020-08-05 09:30:00,2020-08-05 10:00:00,Wake up
2020-08-05 09:30:00,2020-08-05 10:00:00,Eat
2020-08-05 17:00:00,2020-08-05 17:30:00,Drink
2020-08-05 17:30:00,2020-08-05 18:00:00,Eat
2020-08-05 22:30:00,2020-08-05 23:00:00,Eat
2020-08-05 23:30:00,2020-08-06 00:00:00,Sleep
2020-08-06 06:00:00,2020-08-06 06:30:00,Wake up
2020-08-06 06:00:00,2020-08-06 06:30:00,Go to bathroom
2020-08-06 06:30:00,2020-08-06 07:00:00,Drink
2020-08-06 07:30:00,2020-08-06 08:00:00,Take medicine
2020-08-06 07:30:00,2020-08-06 08:00:00,Cook
2020-08-06 09:30:00,2020-08-06 10:00:00,Eat
2020-08-06 10:00:00,2020-08-06 10:30:00,Drink
2020-08-06 12:30:00,2020-08-06 13:00:00,Eat
2020-08-06 15:00:00,2020-08-06 15:30:00,Go to bathroom
2020-08-06 16:30:00,2020-08-06 17:00:00,Go to bathroom
2020-08-06 19:00:00,2020-08-06 19:30:00,Eat
2020-08-06 21:30:00,2020-08-06 22:00:00,Eat
2020-08-06 22:00:00,2020-08-06 22:30:00,Go to bathroom
2020-08-06 22:30:00,2020-08-06 23:00:00,Sleep
2020-08-07 11:00:00,2020-08-07 11:30:00,Wake up
2020-08-07 12:00:00,2020-08-07 12:30:00,Eat
2020-08-07 17:00:00,2020-08-07 17:30:00,Go to bathroom
2020-08-07 20:00:00,2020-08-07 20:30:00,Go to bathroom
2020-08-07 20:30:00,2020-08-07 21:00:00,Eat
2020-08-07 22:00:00,2020-08-07 22:30:00,Sleep
2020-08-08 11:30:00,2020-08-08 12:00:00,Wake up
2020-08-08 12:00:00,2020-08-08 12:30:00,Eat
2020-08-08 13:00:00,2020-08-08 13:30:00,Go to bathroom
2020-08-08 19:30:00,2020-08-08 20:00:00,Eat
2020-08-08 20:00:00,2020-08-08 20:30:00,Go to bathroom
2020-08-08 20:00:00,2020-08-08 20:30:00,Eat
2020-08-08 20:30:00,2020-08-08 21:00:00,Drink
2020-08-08 21:00:00,2020-08-08 21:30:00,Sleep
2020-08-13 09:30:00,2020-08-13 10:00:00,Go to bathroom
2020-08-13 10:00:00,2020-08-13 10:30:00,Wake up
2020-08-13 11:00:00,2020-08-13 11:30:00,Drink
2020-08-13 12:00:00,2020-08-13 12:30:00,Cook
2020-08-13 12:30:00,2020-08-13 13:00:00,Eat
2020-08-13 14:00:00,2020-08-13 14:30:00,Go to bathroom
2020-08-13 21:00:00,2020-08-13 21:30:00,Go to bathroom
2020-08-13 21:30:00,2020-08-13 22:00:00,Eat
2020-08-13 22:00:00,2020-08-13 22:30:00,Eat
2020-08-13 22:30:00,2020-08-13 23:00:00,Drink
2020-08-13 23:00:00,2020-08-13 23:30:00,Sleep
2020-08-14 12:30:00,2020-08-14 13:00:00,Wake up
2020-08-14 12:30:00,2020-08-14 13:00:00,Eat
2020-08-14 17:00:00,2020-08-14 17:30:00,Go to bathroom
2020-08-14 17:30:00,2020-08-14 18:00:00,Go to bathroom
2020-08-14 19:00:00,2020-08-14 19:30:00,Eat
2020-08-14 21:00:00,2020-08-14 21:30:00,Eat
2020-08-14 21:30:00,2020-08-14 22:00:00,Take medicine
2020-08-14 22:00:00,2020-08-14 22:30:00,Drink
2020-08-14 22:30:00,2020-08-14 23:00:00,Sleep
2020-08-15 12:30:00,2020-08-15 13:00:00,Wake up
2020-08-15 12:30:00,2020-08-15 13:00:00,Eat
2020-08-15 13:00:00,2020-08-15 13:30:00,Eat
