start,end,labelName
2020-09-21 14:30:00,2020-09-21 15:00:00,Wake up
2020-09-21 15:00:00,2020-09-21 15:30:00,Go to bathroom
2020-09-21 15:30:00,2020-09-21 16:00:00,Sleep
2020-09-29 17:00:00,2020-09-29 17:30:00,Wake up
2020-09-29 17:30:00,2020-09-29 18:00:00,Go to bathroom
2020-09-29 19:00:00,2020-09-29 19:30:00,Cook
2020-09-29 19:30:00,2020-09-29 20:00:00,Go to bathroom
2020-09-29 20:30:00,2020-09-29 21:00:00,Wash dishes
2020-09-29 21:30:00,2020-09-29 22:00:00,Go to bathroom
2020-09-29 22:00:00,2020-09-29 22:30:00,Sleep
2020-09-30 03:30:00,2020-09-30 04:00:00,Go to bathroom
2020-09-30 08:30:00,2020-09-30 09:00:00,Wake up
2020-09-30 09:00:00,2020-09-30 09:30:00,Go to bathroom
2020-09-30 09:30:00,2020-09-30 10:00:00,Cook
2020-09-30 10:00:00,2020-09-30 10:30:00,Eat
2020-09-30 10:30:00,2020-09-30 11:00:00,Go to bathroom
2020-09-30 11:30:00,2020-09-30 12:00:00,Wash dishes
2020-09-30 14:00:00,2020-09-30 14:30:00,Eat
2020-09-30 15:30:00,2020-09-30 16:00:00,Go to bathroom
2020-09-30 16:00:00,2020-09-30 16:30:00,Cook
2020-09-30 16:30:00,2020-09-30 17:00:00,Eat
2020-09-30 19:30:00,2020-09-30 20:00:00,Go to bathroom
2020-09-30 20:30:00,2020-09-30 21:00:00,Drink
2020-09-30 21:00:00,2020-09-30 21:30:00,Sleep
2020-09-30 23:30:00,2020-10-01 00:00:00,Go to bathroom
2020-10-01 02:30:00,2020-10-01 03:00:00,Go to bathroom
2020-10-01 06:00:00,2020-10-01 06:30:00,Wake up
2020-10-01 06:30:00,2020-10-01 07:00:00,Cook
2020-10-01 07:00:00,2020-10-01 07:30:00,Eat
2020-10-01 07:30:00,2020-10-01 08:00:00,Drink
2020-10-01 08:30:00,2020-10-01 09:00:00,Take medicine
2020-10-01 09:30:00,2020-10-01 10:00:00,Drink
2020-10-01 10:30:00,2020-10-01 11:00:00,Eat
2020-10-01 12:00:00,2020-10-01 12:30:00,Go to bathroom
2020-10-01 13:30:00,2020-10-01 14:00:00,Cook
2020-10-01 14:00:00,2020-10-01 14:30:00,Cook
2020-10-01 14:30:00,2020-10-01 15:00:00,Eat
2020-10-01 15:00:00,2020-10-01 15:30:00,Wash dishes
2020-10-01 16:30:00,2020-10-01 17:00:00,Drink
2020-10-01 18:00:00,2020-10-01 18:30:00,Go to bathroom
2020-10-01 19:00:00,2020-10-01 19:30:00,Eat
2020-10-01 20:00:00,2020-10-01 20:30:00,Wash dishes
2020-10-01 21:00:00,2020-10-01 21:30:00,Go to bathroom
2020-10-01 21:30:00,2020-10-01 22:00:00,Drink
2020-10-01 22:00:00,2020-10-01 22:30:00,Sleep
2020-10-02 07:30:00,2020-10-02 08:00:00,Wake up
2020-10-02 08:00:00,2020-10-02 08:30:00,Cook
2020-10-02 08:30:00,2020-10-02 09:00:00,Take medicine
2020-10-02 09:00:00,2020-10-02 09:30:00,Go to bathroom
2020-10-02 10:00:00,2020-10-02 10:30:00,Eat
2020-10-02 11:30:00,2020-10-02 12:00:00,Go to bathroom
2020-10-02 13:30:00,2020-10-02 14:00:00,Wash dishes
2020-10-02 15:30:00,2020-10-02 16:00:00,Cook
2020-10-02 17:30:00,2020-10-02 18:00:00,Go to bathroom
2020-10-02 19:00:00,2020-10-02 19:30:00,Take shower
2020-10-02 20:00:00,2020-10-02 20:30:00,Drink
2020-10-02 22:00:00,2020-10-02 22:30:00,Take medicine
2020-10-02 22:30:00,2020-10-02 23:00:00,Sleep
2020-10-03 05:30:00,2020-10-03 06:00:00,Wake up
2020-10-03 06:00:00,2020-10-03 06:30:00,Drink
2020-10-03 06:30:00,2020-10-03 07:00:00,Cook
2020-10-03 07:00:00,2020-10-03 07:30:00,Eat
2020-10-03 08:00:00,2020-10-03 08:30:00,Take medicine
2020-10-03 08:30:00,2020-10-03 09:00:00,Drink
2020-10-03 13:00:00,2020-10-03 13:30:00,Cook
2020-10-03 13:30:00,2020-10-03 14:00:00,Go to bathroom
2020-10-03 14:30:00,2020-10-03 15:00:00,Take shower
2020-10-03 15:00:00,2020-10-03 15:30:00,Cook
2020-10-03 15:30:00,2020-10-03 16:00:00,Eat
2020-10-03 18:00:00,2020-10-03 18:30:00,Drink
2020-10-03 18:30:00,2020-10-03 19:00:00,Go to bathroom
2020-10-03 19:30:00,2020-10-03 20:00:00,Wash dishes
2020-10-03 20:30:00,2020-10-03 21:00:00,Go to bathroom
2020-10-03 21:00:00,2020-10-03 21:30:00,Drink
2020-10-03 21:30:00,2020-10-03 22:00:00,Sleep
2020-10-04 10:00:00,2020-10-04 10:30:00,Wake up
2020-10-04 10:30:00,2020-10-04 11:00:00,Cook
2020-10-04 11:00:00,2020-10-04 11:30:00,Eat
2020-10-04 12:00:00,2020-10-04 12:30:00,Go to bathroom
2020-10-04 12:30:00,2020-10-04 13:00:00,Go walk
2020-10-04 18:30:00,2020-10-04 19:00:00,Go to bathroom
2020-10-04 19:00:00,2020-10-04 19:30:00,Drink
2020-10-04 21:00:00,2020-10-04 21:30:00,Wash dishes
2020-10-04 21:30:00,2020-10-04 22:00:00,Drink
2020-10-04 22:00:00,2020-10-04 22:30:00,Sleep
2020-10-05 07:00:00,2020-10-05 07:30:00,Wake up
2020-10-05 07:30:00,2020-10-05 08:00:00,Drink
2020-10-05 08:00:00,2020-10-05 08:30:00,Take medicine
2020-10-05 08:30:00,2020-10-05 09:00:00,Go to bathroom
2020-10-05 09:30:00,2020-10-05 10:00:00,Cook
2020-10-05 10:00:00,2020-10-05 10:30:00,Cook
2020-10-05 10:30:00,2020-10-05 11:00:00,Go to bathroom
2020-10-05 12:00:00,2020-10-05 12:30:00,Go to bathroom
2020-10-05 13:30:00,2020-10-05 14:00:00,Go to bathroom
2020-10-05 14:00:00,2020-10-05 14:30:00,Cook
2020-10-05 14:30:00,2020-10-05 15:00:00,Eat
2020-10-05 16:30:00,2020-10-05 17:00:00,Drink
2020-10-05 17:00:00,2020-10-05 17:30:00,Go to bathroom
2020-10-05 19:00:00,2020-10-05 19:30:00,Drink
2020-10-05 20:30:00,2020-10-05 21:00:00,Drink
2020-10-05 21:00:00,2020-10-05 21:30:00,Sleep
2020-10-05 22:00:00,2020-10-05 22:30:00,Go to bathroom
2020-10-06 17:30:00,2020-10-06 18:00:00,Wake up
2020-10-06 18:00:00,2020-10-06 18:30:00,Go to bathroom
2020-10-06 18:30:00,2020-10-06 19:00:00,Cook
2020-10-06 19:00:00,2020-10-06 19:30:00,Eat
2020-10-06 19:30:00,2020-10-06 20:00:00,Wash dishes
2020-10-06 20:30:00,2020-10-06 21:00:00,Go to bathroom
2020-10-06 21:30:00,2020-10-06 22:00:00,Sleep
2020-10-07 09:00:00,2020-10-07 09:30:00,Wake up
2020-10-07 09:30:00,2020-10-07 10:00:00,Go to bathroom
2020-10-07 10:00:00,2020-10-07 10:30:00,Go to bathroom
2020-10-07 11:00:00,2020-10-07 11:30:00,Go to bathroom
2020-10-07 11:30:00,2020-10-07 12:00:00,Cook
2020-10-07 12:00:00,2020-10-07 12:30:00,Eat
2020-10-07 12:30:00,2020-10-07 13:00:00,Wash dishes
2020-10-07 13:00:00,2020-10-07 13:30:00,Clean
2020-10-07 15:00:00,2020-10-07 15:30:00,Eat
2020-10-07 15:30:00,2020-10-07 16:00:00,Go to bathroom
2020-10-07 17:30:00,2020-10-07 18:00:00,Drink
2020-10-07 18:30:00,2020-10-07 19:00:00,Drink
2020-10-07 20:00:00,2020-10-07 20:30:00,Sleep
2020-10-07 22:00:00,2020-10-07 22:30:00,Go to bathroom
2020-10-08 10:30:00,2020-10-08 11:00:00,Wake up
2020-10-08 12:00:00,2020-10-08 12:30:00,Go to bathroom
2020-10-08 12:30:00,2020-10-08 13:00:00,Cook
2020-10-08 13:00:00,2020-10-08 13:30:00,Eat
2020-10-08 14:30:00,2020-10-08 15:00:00,Go to bathroom
2020-10-08 15:00:00,2020-10-08 15:30:00,Eat
2020-10-08 16:00:00,2020-10-08 16:30:00,Drink
2020-10-08 17:30:00,2020-10-08 18:00:00,Drink
2020-10-08 19:00:00,2020-10-08 19:30:00,Drink
2020-10-08 19:30:00,2020-10-08 20:00:00,Take medicine
2020-10-08 21:00:00,2020-10-08 21:30:00,Drink
2020-10-08 21:30:00,2020-10-08 22:00:00,Sleep
2020-10-09 11:00:00,2020-10-09 11:30:00,Wake up
2020-10-09 13:30:00,2020-10-09 14:00:00,Go to bathroom
2020-10-09 14:00:00,2020-10-09 14:30:00,Eat
2020-10-09 16:00:00,2020-10-09 16:30:00,Go to bathroom
2020-10-09 18:00:00,2020-10-09 18:30:00,Drink
2020-10-09 18:30:00,2020-10-09 19:00:00,Eat
2020-10-09 21:00:00,2020-10-09 21:30:00,Take medicine
2020-10-09 21:30:00,2020-10-09 22:00:00,Sleep
2020-10-10 10:00:00,2020-10-10 10:30:00,Go to bathroom
2020-10-10 11:30:00,2020-10-10 12:00:00,Go to bathroom
2020-10-10 12:00:00,2020-10-10 12:30:00,Cook
2020-10-10 12:30:00,2020-10-10 13:00:00,Eat
2020-10-10 14:30:00,2020-10-10 15:00:00,Go to bathroom
2020-10-10 15:00:00,2020-10-10 15:30:00,Eat
2020-10-10 15:30:00,2020-10-10 16:00:00,Go to bathroom
2020-10-10 16:30:00,2020-10-10 17:00:00,Eat
2020-10-10 17:00:00,2020-10-10 17:30:00,Wash dishes
2020-10-10 18:30:00,2020-10-10 19:00:00,Drink
2020-10-10 21:00:00,2020-10-10 21:30:00,Drink
2020-10-10 21:30:00,2020-10-10 22:00:00,Go to bathroom
2020-10-10 22:00:00,2020-10-10 22:30:00,Sleep
2020-10-11 09:00:00,2020-10-11 09:30:00,Wake up
2020-10-11 09:30:00,2020-10-11 10:00:00,Go to bathroom
2020-10-11 10:30:00,2020-10-11 11:00:00,Eat
2020-10-11 12:00:00,2020-10-11 12:30:00,Drink
2020-10-11 14:00:00,2020-10-11 14:30:00,Drink
2020-10-11 14:30:00,2020-10-11 15:00:00,Cook
2020-10-11 18:00:00,2020-10-11 18:30:00,Drink
2020-10-11 18:30:00,2020-10-11 19:00:00,Eat
2020-10-11 19:00:00,2020-10-11 19:30:00,Go to bathroom
2020-10-11 22:00:00,2020-10-11 22:30:00,Drink
2020-10-11 22:30:00,2020-10-11 23:00:00,Sleep
2020-10-12 10:30:00,2020-10-12 11:00:00,Wake up
2020-10-12 11:00:00,2020-10-12 11:30:00,Go to bathroom
2020-10-12 11:30:00,2020-10-12 12:00:00,Cook
2020-10-12 12:00:00,2020-10-12 12:30:00,Drink
2020-10-12 12:30:00,2020-10-12 13:00:00,Go to bathroom
2020-10-12 13:00:00,2020-10-12 13:30:00,Eat
2020-10-12 14:30:00,2020-10-12 15:00:00,Go to bathroom
2020-10-12 15:00:00,2020-10-12 15:30:00,Cook
2020-10-12 15:30:00,2020-10-12 16:00:00,Eat
2020-10-12 16:00:00,2020-10-12 16:30:00,Drink
2020-10-12 18:00:00,2020-10-12 18:30:00,Cook
2020-10-12 18:30:00,2020-10-12 19:00:00,Drink
2020-10-12 19:00:00,2020-10-12 19:30:00,Take medicine
2020-10-12 19:30:00,2020-10-12 20:00:00,Go to bathroom
2020-10-12 21:30:00,2020-10-12 22:00:00,Drink
2020-10-12 22:00:00,2020-10-12 22:30:00,Sleep
2020-10-13 08:30:00,2020-10-13 09:00:00,Wake up
2020-10-13 09:00:00,2020-10-13 09:30:00,Cook
2020-10-13 12:00:00,2020-10-13 12:30:00,Go to bathroom
2020-10-13 12:30:00,2020-10-13 13:00:00,Cook
2020-10-13 13:00:00,2020-10-13 13:30:00,Eat
2020-10-13 13:30:00,2020-10-13 14:00:00,Drink
2020-10-13 14:30:00,2020-10-13 15:00:00,Go to bathroom
2020-10-13 15:00:00,2020-10-13 15:30:00,Cook
2020-10-13 15:30:00,2020-10-13 16:00:00,Eat
2020-10-13 16:00:00,2020-10-13 16:30:00,Go to bathroom
2020-10-13 16:30:00,2020-10-13 17:00:00,Wash dishes
2020-10-13 18:00:00,2020-10-13 18:30:00,Drink
2020-10-13 19:00:00,2020-10-13 19:30:00,Drink
2020-10-13 21:00:00,2020-10-13 21:30:00,Drink
2020-10-13 21:30:00,2020-10-13 22:00:00,Sleep
2020-10-14 07:00:00,2020-10-14 07:30:00,Wake up
2020-10-14 08:30:00,2020-10-14 09:00:00,Eat
2020-10-14 11:30:00,2020-10-14 12:00:00,Eat
2020-10-14 12:00:00,2020-10-14 12:30:00,Go to bathroom
2020-10-14 12:30:00,2020-10-14 13:00:00,Cook
2020-10-14 13:00:00,2020-10-14 13:30:00,Eat
2020-10-14 13:30:00,2020-10-14 14:00:00,Go to bathroom
2020-10-14 14:30:00,2020-10-14 15:00:00,Go to bathroom
