start,end,labelName
2020-08-04 13:30:00,2020-08-04 14:30:00,Wake up
2020-08-04 13:30:00,2020-08-04 15:00:00,Go to bathroom
2020-08-04 15:30:00,2020-08-04 16:00:00,Cook
2020-08-04 16:30:00,2020-08-04 18:00:00,Eat
2020-08-04 18:00:00,2020-08-04 19:00:00,Go to bathroom
2020-08-04 20:30:00,2020-08-04 21:00:00,Take shower
2020-08-04 21:00:00,2020-08-04 22:00:00,Eat
2020-08-05 00:30:00,2020-08-05 01:00:00,Take shower
2020-08-05 08:00:00,2020-08-05 08:30:00,Take shower
2020-08-05 08:30:00,2020-08-05 09:30:00,Go to bathroom
2020-08-05 10:00:00,2020-08-05 11:00:00,Eat
2020-08-05 10:00:00,2020-08-05 10:30:00,Take medicine
2020-08-05 10:30:00,2020-08-05 12:00:00,Eat
2020-08-05 12:30:00,2020-08-05 13:00:00,Go to bathroom
2020-08-05 13:00:00,2020-08-05 14:30:00,Cook
2020-08-05 15:30:00,2020-08-05 16:30:00,Eat
2020-08-05 17:00:00,2020-08-05 18:00:00,Go to bathroom
2020-08-05 19:00:00,2020-08-05 20:00:00,Cook
2020-08-06 14:00:00,2020-08-06 14:30:00,Eat
2020-08-06 15:00:00,2020-08-06 15:30:00,Go to bathroom
2020-08-06 16:00:00,2020-08-06 17:00:00,Cook
2020-08-06 18:30:00,2020-08-06 19:30:00,Eat
2020-08-06 19:30:00,2020-08-06 20:30:00,Go to bathroom
2020-08-06 21:00:00,2020-08-06 21:30:00,Eat
2020-08-06 21:00:00,2020-08-06 23:00:00,Watch TV
2020-08-07 00:30:00,2020-08-07 06:30:00,Sleep
2020-08-07 06:30:00,2020-08-07 09:30:00,Wake up
2020-08-07 09:30:00,2020-08-07 10:30:00,Go to bathroom
2020-08-07 11:00:00,2020-08-07 11:30:00,Take shower
2020-08-07 12:00:00,2020-08-07 14:00:00,Watch TV
2020-08-07 13:00:00,2020-08-07 14:00:00,Eat
2020-08-07 14:00:00,2020-08-07 19:00:00,Eat
2020-08-07 19:00:00,2020-08-07 20:00:00,Take shower
2020-08-08 00:30:00,2020-08-08 08:30:00,Sleep
2020-08-08 10:00:00,2020-08-08 11:00:00,Take medicine
2020-08-08 11:00:00,2020-08-08 11:30:00,Go to bathroom
2020-08-08 12:00:00,2020-08-08 14:00:00,Eat
2020-08-08 15:00:00,2020-08-08 15:30:00,Go to bathroom
2020-08-08 16:00:00,2020-08-08 16:30:00,Eat
2020-08-08 17:30:00,2020-08-08 18:00:00,Go to bathroom
2020-08-08 18:30:00,2020-08-08 19:30:00,Eat
2020-08-08 19:30:00,2020-08-08 20:00:00,Take shower
2020-08-08 19:30:00,2020-08-08 21:00:00,Go to bathroom
2020-08-08 20:30:00,2020-08-08 21:00:00,Eat
2020-08-08 21:00:00,2020-08-08 22:00:00,Eat
2020-08-08 22:00:00,2020-08-08 23:00:00,Eat
2020-08-09 00:00:00,2020-08-09 06:30:00,Sleep
2020-08-09 06:00:00,2020-08-09 07:00:00,Go to bathroom
2020-08-09 07:30:00,2020-08-09 08:30:00,Eat
2020-08-09 07:30:00,2020-08-09 08:30:00,Take medicine
2020-08-09 08:00:00,2020-08-09 09:00:00,Go to bathroom
2020-08-09 09:30:00,2020-08-09 10:00:00,Go to bathroom
2020-08-09 10:00:00,2020-08-09 11:00:00,Eat
2020-08-09 11:00:00,2020-08-09 11:30:00,Eat
2020-08-09 12:00:00,2020-08-09 12:30:00,Eat
2020-08-09 14:00:00,2020-08-09 14:30:00,Eat
2020-08-09 17:00:00,2020-08-09 18:00:00,Go to bathroom
2020-08-09 18:30:00,2020-08-09 19:00:00,Eat
2020-08-09 19:00:00,2020-08-09 20:00:00,Eat
2020-08-09 20:30:00,2020-08-09 21:00:00,Go to bathroom
2020-08-10 00:00:00,2020-08-10 05:00:00,Sleep
2020-08-10 04:30:00,2020-08-10 05:30:00,Wake up
2020-08-10 05:30:00,2020-08-10 06:30:00,Take medicine
2020-08-10 10:00:00,2020-08-10 10:30:00,Eat
2020-08-10 10:30:00,2020-08-10 14:00:00,Cook
2020-08-10 13:30:00,2020-08-10 14:00:00,Eat
2020-08-10 16:00:00,2020-08-10 17:00:00,Eat
2020-08-10 18:00:00,2020-08-10 19:30:00,Eat
2020-08-11 00:00:00,2020-08-11 09:30:00,Sleep
2020-08-11 09:30:00,2020-08-11 10:00:00,Eat
2020-08-11 10:00:00,2020-08-11 11:00:00,Go to bathroom
2020-08-11 11:00:00,2020-08-11 11:30:00,Eat
2020-08-11 11:00:00,2020-08-11 13:00:00,Go to bathroom
2020-08-11 14:00:00,2020-08-11 15:30:00,Cook
2020-08-11 16:00:00,2020-08-11 18:00:00,Go to bathroom
2020-08-11 17:30:00,2020-08-11 20:30:00,Cook
2020-08-11 20:00:00,2020-08-11 20:30:00,Eat
2020-08-11 23:30:00,2020-08-12 00:00:00,Eat
2020-08-12 00:00:00,2020-08-12 09:30:00,Sleep
2020-08-12 09:00:00,2020-08-12 10:00:00,Wake up
2020-08-12 10:00:00,2020-08-12 10:30:00,Eat
2020-08-12 11:00:00,2020-08-12 12:00:00,Wash dishes
2020-08-12 12:00:00,2020-08-12 12:30:00,Eat
2020-08-12 14:00:00,2020-08-12 14:30:00,Eat
2020-08-12 15:00:00,2020-08-12 16:00:00,Clean
2020-08-12 17:00:00,2020-08-12 18:00:00,Cook
2020-08-12 19:00:00,2020-08-12 20:30:00,Eat
2020-08-12 20:30:00,2020-08-12 21:30:00,Wash dishes
2020-08-13 00:00:00,2020-08-13 01:00:00,Eat
2020-08-13 01:00:00,2020-08-13 07:00:00,Sleep
2020-08-13 07:30:00,2020-08-13 08:00:00,Eat
2020-08-13 09:30:00,2020-08-13 10:00:00,Eat
2020-08-13 10:30:00,2020-08-13 11:30:00,Eat
2020-08-13 13:00:00,2020-08-13 13:30:00,Eat
2020-08-13 19:00:00,2020-08-13 20:00:00,Eat
2020-08-14 00:00:00,2020-08-14 08:30:00,Sleep
2020-08-14 10:00:00,2020-08-14 11:00:00,Cook
2020-08-14 11:30:00,2020-08-14 12:00:00,Cook
2020-08-14 13:00:00,2020-08-14 13:30:00,Cook
2020-08-14 13:00:00,2020-08-14 14:00:00,Eat
2020-08-14 14:30:00,2020-08-14 15:30:00,Eat
2020-08-14 17:30:00,2020-08-14 19:00:00,Eat
2020-08-14 19:00:00,2020-08-14 19:30:00,Cook
2020-08-14 21:00:00,2020-08-14 22:30:00,Eat
2020-08-15 00:00:00,2020-08-15 06:30:00,Sleep
2020-08-15 10:00:00,2020-08-15 10:30:00,Eat
2020-08-15 12:30:00,2020-08-15 13:00:00,Eat
2020-08-15 13:30:00,2020-08-15 14:30:00,Eat
2020-08-15 15:30:00,2020-08-15 16:30:00,Eat
2020-08-15 17:00:00,2020-08-15 17:30:00,Eat
2020-08-15 19:00:00,2020-08-15 19:30:00,Eat
2020-08-15 21:00:00,2020-08-15 21:30:00,Eat
2020-08-16 00:00:00,2020-08-16 06:30:00,Sleep
2020-08-16 06:30:00,2020-08-16 07:00:00,Eat
2020-08-16 07:30:00,2020-08-16 08:30:00,Eat
2020-08-16 10:00:00,2020-08-16 10:30:00,Cook
2020-08-16 10:30:00,2020-08-16 11:00:00,Eat
2020-08-16 12:30:00,2020-08-16 13:30:00,Eat
2020-08-16 14:00:00,2020-08-16 14:30:00,Eat
2020-08-16 15:30:00,2020-08-16 16:30:00,Eat
2020-08-16 15:30:00,2020-08-16 18:00:00,Eat
2020-08-16 19:00:00,2020-08-16 19:30:00,Eat
2020-08-16 21:00:00,2020-08-16 21:30:00,Eat
2020-08-17 00:00:00,2020-08-17 08:30:00,Sleep
2020-08-17 12:00:00,2020-08-17 13:00:00,Eat
2020-08-17 13:00:00,2020-08-17 14:00:00,Eat
2020-08-17 14:30:00,2020-08-17 15:00:00,Eat
2020-08-17 18:00:00,2020-08-17 18:30:00,Eat
2020-08-17 19:00:00,2020-08-17 20:00:00,Eat
2020-08-18 00:00:00,2020-08-18 08:00:00,Sleep
2020-08-18 08:00:00,2020-08-18 08:30:00,Eat
2020-08-18 10:30:00,2020-08-18 13:30:00,Eat
2020-08-18 14:30:00,2020-08-18 18:30:00,Clean
2020-08-18 18:30:00,2020-08-18 19:30:00,Eat
2020-08-18 19:30:00,2020-08-18 21:30:00,Clean
2020-08-18 21:30:00,2020-08-18 22:30:00,Eat
2020-08-19 00:00:00,2020-08-19 08:00:00,Sleep
2020-08-19 08:00:00,2020-08-19 09:00:00,Eat
2020-08-19 13:00:00,2020-08-19 13:30:00,Eat
2020-08-19 13:30:00,2020-08-19 14:00:00,Eat
2020-08-19 14:30:00,2020-08-19 15:00:00,Eat
2020-08-19 16:00:00,2020-08-19 16:30:00,Eat
2020-08-19 17:00:00,2020-08-19 17:30:00,Eat
2020-08-19 18:00:00,2020-08-19 18:30:00,Wash dishes
2020-08-19 19:00:00,2020-08-19 19:30:00,Eat
2020-08-19 21:00:00,2020-08-19 21:30:00,Eat
2020-08-20 00:00:00,2020-08-20 08:30:00,Sleep
2020-08-20 08:30:00,2020-08-20 11:00:00,Wake up
2020-08-20 12:30:00,2020-08-20 13:00:00,Eat
2020-08-20 15:30:00,2020-08-20 17:00:00,Eat
2020-08-20 19:00:00,2020-08-20 19:30:00,Eat
2020-08-20 21:00:00,2020-08-20 22:00:00,Eat
2020-08-21 00:00:00,2020-08-21 11:00:00,Sleep
2020-08-21 10:30:00,2020-08-21 11:00:00,Eat
2020-08-21 12:30:00,2020-08-21 13:30:00,Eat
2020-08-21 15:30:00,2020-08-21 17:00:00,Eat
2020-08-21 21:00:00,2020-08-21 22:00:00,Eat
2020-08-22 00:00:00,2020-08-22 02:00:00,Sleep
2020-08-22 01:30:00,2020-08-22 02:30:00,Wake up
2020-08-22 02:00:00,2020-08-22 09:00:00,Sleep
2020-08-22 09:00:00,2020-08-22 10:00:00,Wash dishes
2020-08-22 11:00:00,2020-08-22 12:00:00,Eat
2020-08-22 13:00:00,2020-08-22 13:30:00,Eat
2020-08-22 14:30:00,2020-08-22 15:30:00,Eat
2020-08-22 17:00:00,2020-08-22 18:00:00,Eat
