start,end,labelName
2020-08-07 11:30:00,2020-08-07 12:00:00,Cook
2020-08-07 12:00:00,2020-08-07 12:30:00,Take medicine
2020-08-07 12:30:00,2020-08-07 13:00:00,Take medicine
2020-08-07 13:30:00,2020-08-07 14:00:00,Go to bathroom
2020-08-20 18:00:00,2020-08-20 18:30:00,Go to bathroom
2020-08-20 18:30:00,2020-08-20 19:00:00,Go to bathroom
2020-08-20 19:00:00,2020-08-20 19:30:00,Cook
2020-08-20 20:00:00,2020-08-20 20:30:00,Go to bathroom
2020-08-21 09:30:00,2020-08-21 10:00:00,Cook
2020-08-21 10:00:00,2020-08-21 10:30:00,Go to bathroom
2020-08-21 11:00:00,2020-08-21 11:30:00,Cook
2020-08-21 11:30:00,2020-08-21 12:00:00,Go to bathroom
2020-08-21 12:00:00,2020-08-21 12:30:00,Cook
2020-08-21 14:30:00,2020-08-21 15:00:00,Cook
2020-08-21 15:00:00,2020-08-21 15:30:00,Cook
2020-08-21 15:30:00,2020-08-21 16:00:00,Eat
2020-08-21 16:00:00,2020-08-21 16:30:00,Go to bathroom
2020-08-21 16:30:00,2020-08-21 17:00:00,Cook
2020-08-22 08:30:00,2020-08-22 09:00:00,Cook
2020-08-22 09:00:00,2020-08-22 09:30:00,Cook
2020-08-22 09:30:00,2020-08-22 10:00:00,Eat
2020-08-22 10:00:00,2020-08-22 10:30:00,Go to bathroom
2020-08-22 10:30:00,2020-08-22 11:00:00,Cook
2020-08-22 11:00:00,2020-08-22 11:30:00,Cook
2020-08-22 11:30:00,2020-08-22 12:00:00,Cook
2020-08-22 14:30:00,2020-08-22 15:00:00,Cook
2020-08-22 17:00:00,2020-08-22 17:30:00,Cook
2020-08-22 18:00:00,2020-08-22 18:30:00,Cook
2020-08-23 07:00:00,2020-08-23 07:30:00,Go to bathroom
2020-08-23 07:30:00,2020-08-23 08:00:00,Cook
2020-08-23 09:00:00,2020-08-23 09:30:00,Go to bathroom
2020-08-23 10:00:00,2020-08-23 10:30:00,Cook
2020-08-23 10:30:00,2020-08-23 11:00:00,Go to bathroom
2020-08-23 11:00:00,2020-08-23 11:30:00,Eat
2020-08-23 14:00:00,2020-08-23 14:30:00,Cook
2020-08-23 16:00:00,2020-08-23 16:30:00,Go to bathroom
2020-08-24 08:30:00,2020-08-24 09:00:00,Cook
2020-08-24 09:00:00,2020-08-24 09:30:00,Cook
2020-08-24 12:00:00,2020-08-24 12:30:00,Cook
2020-08-24 12:30:00,2020-08-24 13:00:00,Clean
2020-08-24 13:30:00,2020-08-24 14:00:00,Go to bathroom
2020-08-24 16:30:00,2020-08-24 17:00:00,Cook
2020-08-24 17:00:00,2020-08-24 17:30:00,Cook
2020-08-24 17:30:00,2020-08-24 18:00:00,Go to bathroom
2020-08-24 21:00:00,2020-08-24 21:30:00,Cook
2020-08-25 20:00:00,2020-08-25 20:30:00,Cook
